Date,Open,High,Low,Close,Adj Close,Volume
2018-10-22,1.920000,1.972700,1.570000,1.820000,1.820000,295217
2018-10-23,1.770000,1.870000,1.389800,1.760000,1.760000,292888
2018-10-24,1.750000,1.857200,1.660900,1.789340,1.789340,141680
2018-10-25,1.830000,1.850000,1.730000,1.840000,1.840000,67646
2018-10-26,1.849600,1.979700,1.770500,1.950000,1.950000,99041
2018-10-29,1.970000,2.108600,1.750000,1.770000,1.770000,301059
2018-10-30,1.800000,1.830400,1.670000,1.807900,1.807900,134148
2018-10-31,1.825000,1.920000,1.714000,1.780000,1.780000,175064
2018-11-01,1.805000,1.913410,1.729000,1.768620,1.768620,114839
2018-11-02,1.822160,2.179700,1.803600,2.071300,2.071300,306955
2018-11-05,2.150000,2.635300,2.123470,2.570900,2.570900,1201282
2018-11-06,2.610000,2.669500,2.320000,2.357000,2.357000,555882
2018-11-07,2.440000,2.572600,2.350000,2.519700,2.519700,450371
2018-11-08,2.280000,2.350000,2.177100,2.177100,2.177100,421329
2018-11-09,2.175000,2.360000,2.120000,2.230000,2.230000,231621
2018-11-12,2.271790,2.411300,2.033500,2.170000,2.170000,237724
2018-11-13,2.150000,2.200000,2.076000,2.120000,2.120000,139897
2018-11-14,2.120000,2.128200,1.819200,1.998100,1.998100,259293
2018-11-15,1.942250,2.060000,1.925680,1.970000,1.970000,101515
2018-11-16,2.005000,2.031800,1.980000,2.000000,2.000000,69061
2018-11-19,2.010000,2.042000,1.898200,1.977800,1.977800,74398
2018-11-20,1.980000,2.020000,1.850000,1.960000,1.960000,311854
2018-11-21,2.004500,2.074600,1.990000,2.050000,2.050000,60353
2018-11-23,1.966400,2.030000,1.966400,1.987870,1.987870,23439
2018-11-26,2.060000,2.060000,1.958800,1.961250,1.961250,111073
2018-11-27,1.963900,2.000000,1.960640,1.976600,1.976600,34524
2018-11-28,1.990000,2.010000,1.943000,1.977500,1.977500,52386
2018-11-29,1.940000,1.970000,1.830000,1.870000,1.870000,170467
2018-11-30,1.840000,1.889220,1.800000,1.800000,1.800000,82090
2018-12-03,1.860000,1.860000,1.442300,1.517100,1.517100,422666
2018-12-04,1.465000,1.520000,1.144000,1.150000,1.150000,594909
2018-12-06,1.160000,1.500000,0.940000,1.110000,1.110000,631005
